text_id,analysis_level,detected_item,feature_code,macro_category,path_2,path_3,path_4,path_5,taxis,raw_count,per_1000,word_count_text,word_count_source
gig_1,inter_sentential_v2,but,intersent_ext_adv,Extension,Adversative,,,,,1,2.710027100271003,369,parser_full_text
gig_1,inter_sentential_v2,even though,intersent_ext_adv,Extension,Adversative,,,,,1,2.710027100271003,369,parser_full_text
gig_1,inter_sentential_v2,furthermore,intersent_ext_add_positive,Extension,Addition,Positive,,,,1,2.710027100271003,369,parser_full_text
gig_1,inter_sentential_v2,in fact,intersent_elab_clar_verif,Elaboration,Clarifying,Verificative,,,,1,2.710027100271003,369,parser_full_text
gig_1,inter_sentential_v2,perhaps,intersent_elab_clar_corrective,Elaboration,Clarifying,Corrective,,,,1,2.710027100271003,369,parser_full_text
gig_1000d,inter_sentential_v2,after,intersent_enh_spatio_temporal_simple_following,Enhancement,Spatio-temporal,Simple,Following,,,1,5.347593582887701,187,parser_full_text
gig_1000d,inter_sentential_v2,however,intersent_ext_adv,Extension,Adversative,,,,,2,10.695187165775401,187,parser_full_text
gig_1000e,inter_sentential_v2,although,intersent_ext_adv,Extension,Adversative,,,,,1,4.166666666666667,240,parser_full_text
gig_1001c,inter_sentential_v2,due to,intersent_enh_caus_reason,Enhancement,Causal-Conditional,Reason,,,,1,6.25,160,parser_full_text
gig_1001d,inter_sentential_v2,after,intersent_enh_spatio_temporal_simple_following,Enhancement,Spatio-temporal,Simple,Following,,,1,5.9171597633136095,169,parser_full_text
gig_1001d,inter_sentential_v2,because,intersent_enh_caus_reason,Enhancement,Causal-Conditional,Reason,,,,1,5.9171597633136095,169,parser_full_text
gig_1001e,inter_sentential_v2,although,intersent_ext_adv,Extension,Adversative,,,,,1,3.9840637450199203,251,parser_full_text
gig_1001e,inter_sentential_v2,however,intersent_ext_adv,Extension,Adversative,,,,,1,3.9840637450199203,251,parser_full_text
gig_1002a,inter_sentential_v2,if,intersent_enh_caus_cond_positive,Enhancement,Causal-Conditional,Conditional,Positive,,,5,15.384615384615385,325,parser_full_text
gig_1002a,inter_sentential_v2,or,intersent_ext_var_alt,Extension,Variation,Alternative,,,,1,3.076923076923077,325,parser_full_text
gig_1002b,inter_sentential_v2,then,intersent_enh_spatio_temporal_simple_following,Enhancement,Spatio-temporal,Simple,Following,,,1,2.73972602739726,365,parser_full_text
gig_1004,inter_sentential_v2,if,intersent_enh_caus_cond_positive,Enhancement,Causal-Conditional,Conditional,Positive,,,1,5.524861878453039,181,parser_full_text
gig_1004,inter_sentential_v2,once,intersent_enh_caus_cond_positive,Enhancement,Causal-Conditional,Conditional,Positive,,,1,5.524861878453039,181,parser_full_text
